ba,days,G3_w2_mean,BEST_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
BANC,3264,3.8333116042465245,3.057383325463269,0.7759282787832558,20.241722011946177,0.6985578249451696,0.8587185059798403,0.6152628245725142,1.310395120889926e-38,True,0.7954052041448313,0.6423996717020412,0.68083112440611,0.5937791745592562,0.7231297218421624,1.0261413906516605,1.056663458627408
FPC,3347,5.307815369526446,4.3249457705085685,0.9828695990178767,18.517403688545535,0.8670366144046873,1.0912593450461898,0.6196875,4.6650651993571e-42,True,0.9041765469361146,1.0260284169391398,1.0341975613286325,0.8596573565417037,0.5167697122521101,1.3850703353756357,1.227820219038673
FMPP,3288,4.3078705985854695,3.6034709261573448,0.7043996724281246,16.35145848297813,0.6211188238456674,0.785866748154647,0.6292063492063492,4.5168358669366383e-48,True,0.6806490199288978,0.7600665119081342,0.6310295149279304,0.6399196629061745,0.4187926308093813,0.9934806662600668,0.8749302097401058
DUK,3330,4.500780822130593,3.7828526332771313,0.7179281888534608,15.951191964811247,0.63820771452143,0.7963948037495491,0.621613204609156,1.5949733491671592e-43,True,0.6082107824736678,0.6824000193540881,0.7173432762485754,0.6259127218087062,0.5596783035964361,0.9676477817394279,0.9189614382941524
JEA,3330,5.416808551198859,4.55956300054968,0.8572455506491791,15.825657165960791,0.7628387883455935,0.95213848070814,0.6294684488654025,2.97285216939976e-49,True,0.7253119418139431,1.053768289442464,0.9075030572125481,0.7713141796671303,0.5414968100386118,0.9153377865676321,1.1261406738030724
TEC,3339,4.806161402656113,4.057444106479214,0.7487172961768991,15.578280324982893,0.6647839497837044,0.8323264142781227,0.621026125275417,1.1190700767752801e-42,True,0.7073530999760617,0.6706638887858264,0.8039189708507138,0.7208242300168088,0.37275505789061464,1.1116001466991439,0.921404633151615
CPLE,3308,5.6864792564541915,4.809283588085908,0.8771956683682836,15.42598906648012,0.778260963101683,0.9701360495522137,0.6296180338134001,5.0471712694019855e-49,True,0.7644234582255188,0.8381377099735189,0.9024237629037944,0.6530163933486247,0.7205137753700751,1.1247072800113471,1.2315158821319956
AVA,3336,2.726855663052865,2.326145441516947,0.40071022153591795,14.69495532767953,0.3558768908532423,0.44550445444369324,0.6071428571428571,1.3141095551585881e-33,True,0.48510448958750824,0.39455139248406434,0.3589529084263951,0.33250312079642547,0.2966472637540088,0.40877782842012067,0.5647085217303162
TVA,3282,4.278493624800803,3.654624682949666,0.6238689418511373,14.581509207698847,0.5532566551634198,0.6954901830426715,0.6184499529337936,4.657725971003638e-41,True,0.5718887275509887,0.5626430588613027,0.46996113163224595,0.5403885804130475,0.5809575545367575,0.8419305719005142,0.8844236217378362
FPL,3323,3.6329775645979785,3.108746123914396,0.5242314406835821,14.429801212978118,0.4582699590779463,0.5896503021599472,0.6179412713778638,1.225152672107965e-39,True,0.4939670354770171,0.5252095683584422,0.5039323985010385,0.34006465475639286,0.2704634163580226,0.8381859959911886,0.7618055125164467
SWPP,3242,2.7024359910816598,2.3230465888032876,0.379389402278372,14.038793278745521,0.32742784409713277,0.42921208595271,0.6127979105452172,5.7485529987826296e-36,True,0.4841084526819348,0.283973740505882,0.2750636164950425,0.31363536020079774,0.31147152891012586,0.5184082296838322,0.526702093994655
PGE,3347,2.8961566487219605,2.489662130874041,0.4064945178479195,14.035653700821078,0.35545174692599235,0.45730397470345013,0.5849408836341008,5.614966103883205e-22,True,0.5759111590566336,0.34918309973488015,0.3979594846904636,0.34943542381751735,0.2989152251421579,0.44216887728862814,0.4611508142000648
SRP,3250,3.7496287985810386,3.2380316240071316,0.5115971745739066,13.643941895461998,0.4395932822263375,0.5817006039684073,0.5872408293460925,1.4243777972553517e-22,True,0.5460414911982336,0.5456583450012912,0.4187124904145075,0.33928605487504776,0.23443157260425165,0.8055532688036873,0.7838688889499196
