ba,days,G1_w8_mean,G3_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
SCL,3816,3.2849899281287454,2.554490193371507,0.7304997347572387,22.2375030286123,0.6936253534430927,0.7669494874952154,0.7248427672955975,8.77790367135529e-176,True,0.09992158421989873,0.034541635944351855,0.0401393558449076,0.13014904999338475,0.30767495823604685,1.756658739682814,2.7189438218582644
NYIS,3834,3.12610445438473,2.737468326102398,0.3886361282823326,12.431962333735349,0.3619090120352944,0.41592118711757226,0.6570161711006781,1.7601018754320243e-85,True,0.16665491501884655,0.09265720026050517,0.08838380086592217,0.07518955227559565,0.055458583043887275,0.8750430040008397,1.353397931151989
CISO,3813,3.736016720559022,3.273567655904834,0.4624490646541879,12.378131556782526,0.42584378454870075,0.4995968083555537,0.6619459742984527,1.9929036011472163e-90,True,0.29288401160457317,0.09526449676496118,0.11160258966623876,0.12106216569442262,0.0817919254743907,0.8690193645691453,1.6680031055940878
PGE,3814,3.664338915131016,3.3430690308327042,0.3212698842983124,8.767471888904838,0.29402989805671254,0.34920603504401987,0.6394861038280021,2.956774937259468e-67,True,0.12739066428066792,0.07165265127285579,0.050187912060695006,0.07170894467788343,0.02783491050002783,0.7673848635672648,1.1209941374070533
LDWP,3803,4.544220939565422,4.151178803997216,0.393042135568206,8.649274337567615,0.3557169281850104,0.4325065401668135,0.632132526952406,2.7802404247554835e-60,True,0.14392217533098262,0.07915863179429718,0.09378241264984388,0.07175776761921943,0.06232819661791741,0.7622554949241429,1.5523367270883104
PSEI,3291,3.598290672126974,3.330939769130658,0.2673509029963162,7.42994180729383,0.23859457773727213,0.29494299158561144,0.6487389851109086,3.931715462797202e-66,True,0.10119125007668281,0.08612861056770008,0.07000811931160823,0.05792782189935053,0.0491157993718243,0.6055555573725946,0.902522687350789
TPWR,3836,3.517608851289879,3.2660169203158738,0.2515919309740055,7.152356660739831,0.22820626173228378,0.2752599781758097,0.6379040667361835,3.9605732625433074e-66,True,0.13381551790337648,0.07155045756180553,0.051866642409302555,0.042265858421516006,0.015021051950776193,0.6723290388590405,0.7660249068222151
MISO,3827,2.9020080905038985,2.704272961584637,0.19773512891926154,6.813734584900046,0.1776741079521983,0.21692179907892886,0.6380977266788608,3.6816981563094194e-66,True,0.13841322004919793,0.03513780763388978,0.024177248736883022,0.06461962954504553,0.07309046843119431,0.3026974198313786,0.7463740690797541
NWMT,3817,2.8169718776799653,2.6716871926295,0.14528468505046513,5.157477296866747,0.12840568339296057,0.16114700839593324,0.632957820277705,3.043996004284615e-61,True,0.08700967888522265,0.04096220372013803,0.046089444700395096,0.07850344112651547,0.057561773851626634,0.31618835993687744,0.3862359562164456
PJM,3823,3.3868970048508564,3.217093973313246,0.16980303153761003,5.01352805516114,0.14819294549784737,0.1907458515480675,0.6136541982736071,3.82251232381649e-45,True,0.10754778908243634,0.03953858449730513,0.03754304179978795,0.05555484806761544,0.09360145796589743,0.2987201801034791,0.5612289097958658
AVA,3795,3.674696965361263,3.493690974299619,0.18100599106164383,4.9257392587159625,0.15872207284411088,0.2037959259972906,0.6086956521739131,4.0883795794548663e-41,False,0.1032921507177634,0.03649693137884374,0.01494342336132981,0.026116717302704078,0.06600044430110226,0.42635267810798205,0.5911341566518834
ISNE,3836,4.077552051446313,3.8821354911070505,0.1954165603392626,4.792497014721078,0.16945884949925535,0.22105284751313178,0.5956725755995829,1.6718599724730215e-32,False,0.12102182040766297,0.05720973174245071,0.04603924739914596,0.0592842436198505,0.0408617906660708,0.37895423029660896,0.6622752232055612
EPE,3828,5.057956705498336,4.820140407563301,0.23781629793503378,4.701825495590178,0.20704095584734128,0.26724236586416983,0.6340125391849529,2.238538643199026e-62,False,0.11887384274539187,0.08458128456587657,0.07397840572242372,0.11537163047294755,0.11067144362747434,0.20368329204573582,0.9594147259530462
PACW,3651,4.255457692954642,4.067588679794625,0.18786901316001814,4.414778073603107,0.16235423500098586,0.21289515931613387,0.603396329772665,5.564073779371985e-36,False,0.115649783706071,0.05316412232574199,0.02681264482820147,0.08938970513051793,0.05533998624892397,0.39850891227938146,0.5706445551909979
PSCO,3819,4.1667229828010885,3.986406375628216,0.18031660717287182,4.327540081669974,0.1564452007674775,0.20520187080262503,0.6148206336737366,5.304155461798072e-46,False,0.140805930362837,0.07765716296022883,0.0609058703708215,0.07281683026850785,0.0799562844606414,0.2983029540164679,0.5340272515442597
BANC,3742,4.994264029989803,4.797676944278179,0.19658708571162467,3.936257365072188,0.16459627663891202,0.22778433206023393,0.621058257616248,5.340664410128911e-50,False,0.10835339511813541,0.06866400745071463,0.09983583112285856,0.13520281989861974,0.14655187052642402,0.2944522240471197,0.5193042208540896
PACE,3689,3.278550365849916,3.1500502044161887,0.12850016143372736,3.9194200818816936,0.11105564549334915,0.1467908731180076,0.6088370832203849,4.1073351850731e-40,False,0.1317813131964476,0.038867695632819374,0.0279759249562942,0.09072066094939585,0.08906424045101266,0.1353300618355534,0.39115708595434495
BPAT,3835,2.9934958385697468,2.896054700962364,0.09744113760738243,3.255095141670166,0.08040866973647122,0.11536595045360218,0.5976531942633637,8.560989037409309e-34,False,0.05957362513014014,0.03682329490503543,0.03172460919293947,0.038597497561047835,0.00813601107090655,0.25178647858555997,0.25235464375885774
FMPP,3789,4.796463851337716,4.681924683375097,0.11453916796261941,2.387991893875628,0.08723340983817468,0.14200638852947634,0.5856426497756664,4.925599898752548e-26,False,0.07117232731169508,0.06999406293839815,0.09428683169656486,0.08628388475024854,0.05080684283111395,0.17559016916643586,0.25230358771688677
