ba,days,G3_w8_mean,G3off_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
SCL,3816,2.554490193371507,2.5189040644582055,0.035586128913301845,1.3930814455910674,0.023930117594026756,0.047481573600185775,0.495194874532835,0.5674275909716814,False,-0.007335246294006805,0.017404324304209195,0.04114378620212371,-0.023443874837932144,0.28883292623760914,-0.028604448338135986,-0.03954563720611169
BPAT,3835,2.896054700962364,2.8632632045983626,0.03279149636400204,1.1322816641931994,0.01696167486220387,0.04798328375629247,0.4945551128818061,0.5144744113899988,False,0.21126612871777786,-0.023907264938756428,-0.012751668263929608,-0.0259434958894055,0.17115739372792638,-0.03626206590029418,-0.03352528513226941
PGE,3814,3.3430690308327042,3.3186351818374775,0.02443384899522694,0.7308807796033115,0.009696351861272899,0.038721195971967645,0.4874465811965812,0.12852495843330497,False,0.1385198817905094,-0.02159659983724701,-0.026594961391260646,-0.03041103401946274,0.1989991611690314,-0.0371454342931341,-0.03645550995179335
MISO,3827,2.704272961584637,2.6863477090011,0.017925252583537107,0.6628492329795492,0.002475137015819982,0.032788472339412546,0.4897524620708012,0.21500022910781197,False,0.14909998221664364,-0.03279809456218427,-0.01986956489186341,-0.03668581190685501,0.18428112391842086,-0.05323246995342818,-0.04944463948511255
TPWR,3836,3.2660169203158738,3.249958177985866,0.016058742330007546,0.4916919514444653,0.0017209785802748173,0.031241866280271573,0.4883165161975571,0.15627411906034389,False,0.16997813422398725,-0.013809857733267357,-0.02073802108285761,-0.028195606018420822,0.11568076273926034,-0.04230242668853335,-0.051143125982742996
PACW,3651,4.067588679794625,4.05045124223297,0.017137437561653958,0.4213168761822604,-0.0030870586695280703,0.03633967363609803,0.4920413292376431,0.3493744339110937,False,0.22992602409531485,-0.04389838200860485,-0.04022969548153673,-0.03591533176122423,0.15329890018794562,-0.057863093738694735,-0.06286033209531137
NWMT,3817,2.6716871926295,2.6652202971379335,0.00646689549156661,0.24205286866692766,-0.0056320943615084445,0.01899529403486975,0.47664798505471045,0.004469201332095947,False,0.060301104658753435,-0.01892825709358295,-0.02469166421992495,-0.028659484699755187,0.1274788465110336,-0.035814411246584986,-0.02735572528930031
CISO,3813,3.273567655904834,3.26863792921409,0.0049297266907435315,0.15059186822827175,-0.008294891303444366,0.01841127973396122,0.48330216403954046,0.04266810159042964,False,0.1849668930248186,-0.04198347641343427,-0.03910426001133371,-0.027093175079087845,0.0892786679835867,-0.05298700144309515,-0.058316443509953624
GCPD,3835,2.2488686224700007,2.2463366125407025,0.0025320099292983184,0.11259038896266581,-0.009425026468533684,0.013385703415576206,0.4857901726427623,0.0840604935294764,False,0.07777696136272547,-0.022964646760542894,-0.011418002117540148,-0.02244740635141349,0.07840905158196172,-0.032124233430435134,-0.040882053437866446
AVA,3795,3.493690974299619,3.4973399467777777,-0.003648972478158072,-0.10444462618476387,-0.018090805343072905,0.010054301094739744,0.4791946308724832,0.011618069075406282,False,0.07026677673581337,-0.040502291424272356,-0.021343597189042447,-0.048504268239522315,0.12647427222402136,-0.05151748106489071,-0.05047457905877472
IPCO,3833,3.739910852667136,3.7474225249151956,-0.0075116722480599715,-0.2008516390892843,-0.021633404523131138,0.006788746695721088,0.46744618655328196,6.922836134520287e-05,False,0.0929983358897409,-0.033001803320628645,-0.032404119479390696,-0.043941265215205486,0.07503492516455341,-0.05980403530936186,-0.03970641437849901
PJM,3823,3.217093973313246,3.2258511290587797,-0.008757155745533114,-0.2722070234247532,-0.024876063758388814,0.007396774369645495,0.4697575273114841,0.00022414525663703771,False,0.057413565591447245,-0.04063111338491179,-0.03661570029846931,-0.030988455622927902,0.10757815715761637,-0.05230524465326871,-0.057547115944406396
EPE,3828,4.820140407563301,4.8332700765357846,-0.01312966897248306,-0.27239183638470876,-0.029646952576138013,0.0039060403510092372,0.47472059606173495,0.002044764711035621,False,0.05019315075910812,-0.0494752947742781,-0.02771468516514547,-0.0308710563164123,0.10746086793713401,-0.06010849108343122,-0.07345178979171767
NYIS,3834,2.737468326102398,2.7503084011559333,-0.012840075053535962,-0.46904926464729674,-0.02229284930186347,-0.0032552048364652875,0.4636025504782147,8.522150876000013e-06,False,0.012892696012588665,-0.022843346838821197,-0.02925177779143035,-0.035388322183667935,0.08112081511666969,-0.04014871304939177,-0.05242648140528798
PSCO,3819,3.986406375628216,4.005458104667852,-0.019051729039635916,-0.47791738333835976,-0.034425637881090064,-0.004108815652414578,0.4579887970125367,2.8794119167932683e-07,False,0.036949252201247264,-0.0490207181305653,-0.04981810818593698,-0.053532692756012745,0.10391933194879728,-0.05780362080985717,-0.05645340233423388
SWPP,3724,3.465893579896244,3.4846683774137848,-0.01877479751754118,-0.5417015001973381,-0.03661635483078279,-0.0024336189903747625,0.44772851669403396,2.8176574300360054e-10,False,0.023776346526939985,-0.06189246112276629,-0.024685215942137795,-0.041941060888243814,0.07509470729757714,-0.04934710627237804,-0.04651656829565934
