ba,days,G3_w8_mean,G3R_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
AEC,2048,6.839933388741915,5.51848334902977,1.3214500397121447,19.319633169047602,1.1695661008509295,1.4758923351714144,0.6872393661384487,3.482077026672111e-39,True,1.079970521409747,1.6182254045613305,1.8011839761614032,1.4867543174731912,1.2361414422854198,1.0090204161679783,0.8911738790821901
CPLW,3626,5.621731456159337,4.536779337463069,1.0849521186962672,19.29925196813806,1.005528928750067,1.1693546858210835,0.6782287822878229,2.252070670572824e-78,True,1.3510091294660047,1.1494078500086773,1.2694439698577438,1.2541030734265495,1.0213774835289533,0.600250138026969,0.8738449705224755
CPLE,3649,6.221904518672336,5.069242353039622,1.152662165632714,18.525873583779706,1.0635578070089624,1.2462675899501443,0.6764455782312925,6.835317863632849e-67,True,1.2090275098849244,1.15222294259229,1.5292937247231957,1.336081141480482,1.1902227808182533,0.6417705341285395,0.9239368499742251
AECI,3646,6.2909593791716105,5.130503866489194,1.1604555126824163,18.446399710106288,1.0741485223688882,1.2463836246733664,0.7052588666938443,2.029087575787376e-94,True,1.4206268519474294,1.285204058939547,1.4383193998839938,1.3141729879801924,1.1532861811135109,0.7765771814289993,0.6355013000084418
DUK,3669,5.112365624311439,4.199617579386869,0.9127480449245688,17.853731755492404,0.8448813504381552,0.9839431048243912,0.6879289463060153,8.265409691253334e-80,True,0.9977158912097086,0.972971209442872,1.0927391819707173,0.9762526489360822,0.9062859497000675,0.5893187598293099,0.8134208351921337
TVA,3646,4.802568618247656,3.9681590864343814,0.8344095318132736,17.374234459511587,0.767287311588295,0.9041595742036267,0.6819672131147541,9.95703169430221e-74,True,0.8395556114751902,1.0044081619385958,1.0313033214963565,0.9029515847926612,0.8152333004095839,0.57099441751726,0.6197308674443781
SC,3517,5.368217190651446,4.447618367318177,0.9205988233332694,17.149060677657722,0.8391313063339413,1.0021922671469632,0.6876446089773253,1.2410588213581421e-69,True,1.0465422361407484,0.9001868970479685,1.0953551317088759,1.0625588856546697,1.0191007533212486,0.6877595952753583,0.5665922161360087
SOCO,3617,4.326330527994502,3.6228902464789496,0.7034402815155525,16.259513159334055,0.6403807863441765,0.7625488344987671,0.6830855018587361,5.013922615789255e-66,True,0.6738482926553636,0.8637906621094952,0.9181173405927103,0.7821941656044584,0.7303293233681467,0.3971222486982784,0.49899090432485
LGEE,3640,4.6909264264678505,3.9343650476733254,0.7565613787945247,16.128186844409672,0.6953545826022944,0.8156836496623767,0.6554413328606877,4.228401342547054e-62,True,0.8855479985215212,0.8201181713413365,0.7838038661549808,0.8475270740204146,0.7240983724921393,0.5892998956499058,0.6177824028708808
JEA,3685,5.598284436565235,4.734135872580269,0.8641485639849672,15.435953170595882,0.7808718178014131,0.9480564264224524,0.6320501342882722,4.7929522784412446e-36,True,0.8364643983066506,1.0236933773969654,0.9731055697297497,1.054668460052247,0.9876098658845435,0.6856478270532779,0.4332461876450628
