ba,days,G3_w8_mean,G3Rprev_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
GCPD,3613,2.1999597450244703,1.9792683776637723,0.22069136736069775,10.03160934466294,0.19529545882285906,0.24603774263816292,0.5986555950968763,2.936091460989299e-23,True,0.2251054830762323,0.29405877594118685,0.26210841484049957,0.26621692913593253,0.24656636914706467,0.14426271615649847,0.07809485444308464
PACW,3345,4.008819940047832,3.6429246110119475,0.36589532903588473,9.127257759337501,0.3169103325781209,0.4142778844569485,0.5895379915998473,4.765160857717367e-20,True,0.22051125766309848,0.500703606974794,0.5091103672253576,0.4986979810957315,0.410124063886506,0.18745627129023165,0.10972528309962945
IPCO,3537,3.6876248481711205,3.3953667881699787,0.2922580600011416,7.925373974689618,0.24936206961047408,0.3363332683230877,0.575337468077344,3.1676874217145695e-15,True,0.13058013396789386,0.2957389971581375,0.43322339260423104,0.37404375175064997,0.4463169603684581,0.22575019019380216,0.0405558890722689
JEA,3669,5.7166384541501944,5.275766267815604,0.44087218633459074,7.7120879669156635,0.34961009280192995,0.5264469003153336,0.5728506787330316,7.914927889689182e-12,True,0.48974577142604936,0.42584333793986084,0.4808113860695327,0.5935537475202517,0.41791007869308605,0.48153353830869317,0.1712801705976563
AEC,2051,6.971402824151168,6.4458437856927056,0.5255590384584629,7.538784541868078,0.3657243210705534,0.6920704241830034,0.5797827903091061,3.7349414897248527e-08,True,0.26282227670956787,0.6164402273009628,0.7751452520034446,0.8623031525110949,0.24529323013873652,0.45542346354975666,0.40224308172369244
BPAT,3576,2.8387038563288005,2.6262809423220417,0.21242291400675845,7.483095270158889,0.17759293217133687,0.24868930924422666,0.5701030927835051,4.125604335495705e-14,True,0.3200133961589049,0.23297508852285478,0.24314587323691314,0.3251055135224951,0.23339541661714447,0.08401698646149146,-0.01736997485002357
FPC,3712,5.71229326802489,5.289808050837789,0.42248521718710136,7.39607014842888,0.3293782536447241,0.5149007520846262,0.6002317497103129,7.95787026794992e-17,True,0.342403276869253,0.5159720456609056,0.4696576564942083,0.6764807600283228,0.3841145665997392,0.3221111827370898,0.2146680033409874
SOCO,3597,4.390734141229059,4.07817691117268,0.3125572300563783,7.118564231012332,0.24574366305278855,0.38180825735156415,0.5803738317757009,1.0833341727696167e-13,True,0.3303743944900809,0.18893863107130485,0.4864915872323204,0.4357242691837946,0.3590350570143438,0.12029749997263497,0.23388823730089386
AVA,3445,3.477167197856685,3.231513795957017,0.24565340189966817,7.064756680411806,0.20635333545131432,0.2876163646055435,0.5209665955934613,0.027395369995908237,True,0.16008028777147842,0.33170937437605896,0.33594645392195666,0.324150719920603,0.3297725697446941,0.14161357970647911,-0.011559730178672822
SC,3536,5.46115510139429,5.118341392471741,0.34281370892254875,6.277311348198568,0.25420509839324884,0.4315189659394384,0.5767463235294118,8.527142951710983e-13,True,0.47950136580571945,0.2914456903858358,0.4625134054344845,0.47611301101169723,0.3519954572310828,0.19677686374421943,0.1055491810684241
SWPP,3529,3.3881081414050267,3.1773354329084595,0.2107727084965667,6.220955757603434,0.16572058530256842,0.2552225263097701,0.5508155583437893,7.30178657617369e-07,True,0.17436193721447868,0.36158595615999817,0.2679281871937751,0.29759349129519513,0.2393891172714497,0.09684772445499977,-0.031859368384475714
ERCO,3672,3.7402232463658867,3.5101084822590303,0.23011476410685627,6.152433931061273,0.17423787111888533,0.2868114206326678,0.6015873015873016,9.567935235103446e-19,True,0.25735547977719037,0.39562887401944435,0.28653578890758397,0.21188580400380722,0.2710249441175992,0.021655682436639987,0.12905996365218378
AECI,3656,6.395247978065421,6.008454890926612,0.38679308713880894,6.0481327458363054,0.2933567291955047,0.4861700379376679,0.558262281770199,7.968903291559607e-09,True,0.34531497805647166,0.5187901409084955,0.5926999497912937,0.4068082555993566,0.2612441945740282,0.3669087183487182,0.16778464737704582
DUK,3666,5.19674805968806,4.885827100185051,0.3109209595030093,5.982990822950779,0.23282511138884232,0.38493467345922205,0.5623235175473982,5.871984127393884e-10,True,0.46830511787099444,0.24514323663475482,0.46719001261128457,0.4676403741997975,0.28117029611183436,-0.006091127289655764,0.21383873218114224
SRP,3604,5.118987386663666,4.814008929102399,0.3049784575612669,5.957788807134347,0.26269433184708735,0.3473837320783147,0.6195722618276086,4.811954990325493e-21,True,0.2671662989383044,0.3866691125356021,0.4071613507831078,0.3943175717383298,0.3885226891093935,0.18613495559856108,0.0592450807045737
SCEG,3646,4.819415535418798,4.54084400439091,0.278571531027889,5.780193240873588,0.21303019463225376,0.3455572857767623,0.5661016949152542,1.4463535848167143e-10,True,0.45788032605341134,0.28499875901818855,0.4017833540841803,0.31267342743549914,0.27553990807703627,0.039486443716100265,0.14697480759918272
AZPS,3670,5.182131403119954,4.887348290891076,0.2947831122288775,5.688453057199598,0.25156595722340225,0.3388871971277113,0.6068144943212548,3.6596023681826515e-20,True,0.16183523329823074,0.3213755229469664,0.49228577462491896,0.4110853104237315,0.36326681936166466,0.1832511996232704,0.08270395007608802
CPLE,3665,6.356026736245483,6.018788185689155,0.3372385505563277,5.30580761457802,0.2334040940709637,0.4399048332239878,0.5411566061629379,6.665337506490318e-05,True,0.45056232044095706,0.08595630363247267,0.6471261797868344,0.5582466237719393,0.3388805622339785,0.0470824515531111,0.1905531622533283
CPLW,3638,5.715572305397222,5.422170957903332,0.29340134749389024,5.133367785704172,0.20348152009219325,0.38967211450435896,0.5465244575211475,1.3241834301354308e-06,True,0.48480706002070884,0.21648291621111102,0.4679678408744103,0.46223822286970895,0.2353222215201149,0.026929321718281222,0.11234670226894854
FMPP,3691,4.563492890094671,4.329331088230933,0.2341618018637376,5.13119681575487,0.1777847770751376,0.2913020285612161,0.5840504876649455,2.3776489361202973e-12,True,0.2736382926359004,0.3014840150259993,0.12698209920976591,0.39961121111615455,0.20193036114274587,0.16867434086053618,0.1639010570683656
TEC,3727,5.087780444165116,4.8329329114634705,0.25484753270164595,5.0090119944919405,0.194791383455109,0.318153556766755,0.5757238307349666,1.4882513327833402e-10,True,0.34064687755626766,0.3173134562267239,0.1649376359997368,0.35905902950852703,0.2263255029157817,0.20633365389806335,0.16983323067190198
PSEI,3026,3.2610000132360923,3.1014032159884075,0.15959679724768422,4.8941059981568795,0.11896655861915024,0.19798886584086767,0.4959839357429719,0.7033877361773135,False,0.22735165484637448,0.1781987475677413,0.2070917356170413,0.23188531077857213,0.19790752968442968,0.006643411227931509,-0.008651832412960947
TVA,3629,4.857448906885453,4.6282711159379515,0.22917779094750118,4.718068997548091,0.15607143120578193,0.3038294754268494,0.5484003281378179,1.908104528518045e-06,False,0.11730991199520814,0.1970978659818204,0.4239142488786883,0.2604721287866517,0.23125951309480902,0.09416277300558276,0.2534575548850711
WALC,3563,5.56187098778206,5.311959520706957,0.24991146707510228,4.493298525336003,0.20267062382715514,0.29673565867515905,0.5551558752997602,3.7300876442909086e-08,False,0.1923147820305883,0.32001205206209565,0.3288131088491421,0.3495323400994325,0.4138245858789426,0.06491085105395425,0.019716308521523066
PGE,3530,3.3576249243370286,3.2160067344446635,0.14161818989236497,4.217808512972241,0.11064599466275503,0.17183571048516447,0.5129740518962076,0.20098548663390065,False,0.1392692998851706,0.14736443404329003,0.17385493605708832,0.19099947135419834,0.2166334765988488,0.05862214209619976,0.019071755507633736
NWMT,3498,2.6708558975264647,2.559829672004307,0.11102622552215778,4.156953043591064,0.08164784225520019,0.13856533800922805,0.4849892780557541,0.11660567860552658,False,0.10020589432903178,0.08718728762711465,0.18718851016545032,0.1451656115143476,0.15984952100395025,-0.0033919226890446355,0.04944183552736618
MISO,3625,2.6743019360912292,2.565530902743255,0.10877103334797444,4.06726824222977,0.08206864851110665,0.13580016958365873,0.5525158768930142,2.2006916328191195e-06,False,0.11845494237887227,0.15659191876323733,0.18526601868086504,0.16779347949423648,0.09047931763776611,-0.004201486503494612,0.011333627606426526
TPWR,3520,3.2119363179613627,3.0894790202588625,0.12245729770250036,3.812569290919965,0.0821567262585928,0.1638961438583391,0.480718954248366,0.034406760602057496,False,0.2687242957134407,0.21881107249083093,0.1469033242734088,0.13526979459670646,0.15097713810296035,-0.04586401066203699,-0.11970494900778715
LGEE,3619,4.736482933381764,4.566843573207585,0.16963936017418074,3.5815469528792594,0.09442723771022457,0.2369077423995076,0.5143362831858407,0.13227020424706581,False,0.17564799087532548,0.22330860739401026,0.3615745188788912,0.1514709561025111,0.10038229190409607,0.042268401066124145,0.09752287178950005
FPL,3705,3.7915181107317424,3.6682356697711147,0.12328244096062713,3.251532430022714,0.08773478389385604,0.16096146938696715,0.6190893169877408,7.811514876154928e-16,False,0.15977440173938326,0.11404266275028124,0.14539357762523172,0.13031066331841804,0.13720732807884287,0.10069616748398073,0.07685488371233015
PJM,3620,3.207471591358356,3.1055978421125845,0.10187374924577142,3.1761387854608603,0.0679421747173591,0.13470777048020344,0.5221162185602776,0.03542083081101868,False,0.19652624863400553,0.11364790668785024,0.20792872901064627,0.15301514135560318,0.06927241338004064,-0.11800503313586708,0.04537339271447532
SCL,3414,2.5476490107473593,2.4747680176051103,0.07288099314224847,2.8607156179990683,0.04745543270856697,0.09796434279669422,0.49547038327526133,0.6407519075752971,False,-0.07015931219324126,0.10185971314201138,0.12964334595273036,0.19604710585745747,0.10167503143259238,-0.040879286268078525,0.02790458441099025
TEPC,3618,6.724994807038114,6.577327861100534,0.14766694593758026,2.1957927132231814,0.11112736237208164,0.1865284714323201,0.582356570018507,3.557822172779704e-11,False,0.06884196164048359,0.18212693688429504,0.20993234264640695,0.18508433134779123,0.18253511576640874,0.12002014473071247,0.06367913433774881
PACE,3484,3.162902537827172,3.098728106065901,0.06417443176127133,2.028972786665675,0.048658223758626454,0.0808009607576339,0.5131103074141049,0.22552590782683327,False,0.10415099393120739,0.09675412842454546,0.09009500839729614,0.046333105084105326,0.09372707551856102,0.0005744027878412968,4.826920049172669e-05
BANC,3623,4.83202533565595,4.751405903248997,0.08061943240695424,1.6684397702151144,0.059233621763495586,0.10364691902222022,0.5957719410634209,3.869819423299128e-14,False,0.049842676376099515,0.11427111734798577,0.13523303022689126,0.1231173097393461,0.12918192265524894,-0.00020203598454164733,-0.004352485778794899
