ba,days,G3_w8_mean,G3T_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
IPCO,3353,3.6009681735534507,3.124778107701139,0.47619006585231183,13.223945419723204,0.43491978039070994,0.5211515528964749,0.6743909685086156,3.140849156050451e-47,True,0.5119666544469685,0.5823936119173789,0.535162338061234,0.5816201359960714,0.4946412117750075,0.29057822143319967,0.3007848530025889
PNM,3361,3.4461746090007814,2.995189544225937,0.4509850647748442,13.086541337660407,0.41226950937441653,0.48835410135335255,0.7547945205479452,3.4131945522646185e-88,True,0.4667235929281476,0.4983782387270497,0.5107578449293051,0.49147409216737364,0.5311439971385264,0.3100953960590466,0.32220655241560636
MISO,3350,2.6089738407096235,2.2719266097941793,0.33704723091544425,12.918766208241077,0.30679171976021347,0.3682133718327579,0.6686879823594267,1.473885668106855e-47,True,0.3042943966565078,0.4088942358762099,0.3835578351334121,0.3949797238277043,0.37761690463452,0.23163200735412645,0.23470276630593048
AVA,3318,3.3789120309784484,2.950782412672522,0.4281296183059265,12.670635233494105,0.38540946121664316,0.4719855011208625,0.657334144856969,1.0050816069725077e-37,True,0.45118010807586706,0.5717837881580998,0.5082630662784341,0.5104088539846473,0.431389772082315,0.2509333872357454,0.23291702490832378
SWPP,3242,3.3279477824145123,2.9148391261386624,0.4131086562758498,12.413315451005328,0.37258572351487684,0.4545260543848726,0.6739711384286478,4.475021749922268e-52,True,0.4999464204790352,0.49553252667180836,0.43482209544484024,0.45645467359763126,0.5028420983818065,0.23067461747390533,0.2368378419426678
AECI,3345,6.276766813928192,5.503428551534672,0.7733382623935195,12.32064668512898,0.698331491803952,0.8505061646296318,0.6466395112016293,4.900302811971031e-39,True,0.9571746007743724,0.9083928178569037,0.8368447268623722,0.8152613827468049,0.7815584248335983,0.5677171118243559,0.5111041124769757
PSCO,3344,3.7473078114922598,3.294717704967033,0.4525901065252269,12.077740321657634,0.41127776147693546,0.4941990503850164,0.6372443487621098,1.4354060751782e-32,True,0.3786639935340789,0.45050567532279095,0.5568238682809082,0.5747029116827389,0.6011130421147537,0.2579286981169511,0.3049285884587293
AEC,2033,6.922839164025197,6.0950314417520595,0.8278077222731358,11.957633315748124,0.6899780040324691,0.959786968553918,0.6695132365499573,1.494832251587932e-31,True,0.5768215038300974,1.348110378906738,1.0651550644342722,0.9695926520696607,0.801374498552833,0.3990389738554097,0.49509493563322227
CPLE,3351,6.224574240135407,5.483557598551509,0.7410166415838979,11.904696016088936,0.6596164316080122,0.8228016052662309,0.6529492455418381,5.290181625293449e-47,True,0.6005043046290168,0.8285261602085405,0.9522470652064233,0.9748402534273508,0.8128283162041827,0.3984750889826695,0.5337545702085772
EPE,3354,4.6019268527686785,4.068736305217998,0.5331905475506806,11.586245601228857,0.4819502974441342,0.5848771168658181,0.7362821948488242,4.616678137710121e-92,True,0.5618269748769946,0.5541843929683066,0.5676964175660391,0.6624371986812355,0.5168634771535939,0.4447062347629789,0.40282644751255253
DUK,3353,5.097459917798193,4.506885468949116,0.590574448849078,11.585661454385146,0.5288535355231242,0.6514383920217872,0.6759646675964668,5.493293726438759e-61,True,0.5333209095150941,0.7056732071616936,0.6528411201834572,0.7318881199871836,0.6095731930600055,0.29874143892818816,0.5571917291137338
ERCO,3364,3.7541651517224275,3.323223345522746,0.43094180619968125,11.479031656398048,0.38449633110680936,0.47869020495985676,0.6765015806111696,2.4681388763992612e-54,True,0.5863473759147518,0.45160948725819466,0.5023552038466892,0.4123994119405957,0.4353575935311638,0.31605348148312684,0.29793477274449637
GCPD,3349,2.2054595694262007,1.9652483566043857,0.2402112128218152,10.891662497549728,0.21660026701227736,0.2634564919258107,0.6984536082474226,2.030673480080293e-56,True,0.25040046939768307,0.309711192731389,0.32446005666058203,0.2678430944098478,0.22807063202842498,0.13644366708703046,0.14216940565917577
JEA,3382,5.619992168415544,5.008045201719213,0.6119469666963303,10.888751235908888,0.5309221851092014,0.6936493812720107,0.6618245206275422,1.1445987932782845e-41,True,0.4570957649323703,0.8582333852213763,0.7950135941674815,0.8549731387422204,0.5978011818699057,0.24710129739721678,0.3894913750744814
PACW,3173,3.965237576853718,3.542808488723964,0.42242908812975527,10.653310928848265,0.37874592610695706,0.46664697212195144,0.6438271604938272,2.7623554552672976e-31,True,0.41343240071748877,0.4938336928008729,0.5456610196166561,0.47942035602419675,0.46227983726619426,0.23079098645680277,0.3003343632930526
CPLW,3333,5.617065962480448,5.021803459620232,0.5952625028602164,10.597392069744425,0.5307272903013737,0.6640448802619299,0.6627277203348104,2.018853421760401e-49,True,0.6714559241377125,0.7029251802037546,0.7165178957599138,0.6783715219839941,0.7101703732819568,0.27847054625253503,0.35239530164743266
SCEG,3355,4.753696475798448,4.271495617780527,0.48220085801792106,10.143703126037908,0.4290989709993108,0.5358688242694143,0.6648754274548119,4.228429886861056e-51,True,0.5692524297113993,0.5661849623914289,0.5838213693384384,0.577736411704881,0.48386444310093835,0.2544382674764555,0.2941341057202759
NWMT,3342,2.56405819639435,2.3047371548605606,0.25932104153378926,10.113695621201334,0.23183625920620207,0.28605200792290336,0.622568093385214,1.8836582645856057e-25,True,0.2757634193783017,0.2950907280896413,0.3145035567575955,0.35660181097243016,0.3066555339633244,0.12001059988457456,0.11920107787379414
PJM,3341,3.1253800644830743,2.8140467142644994,0.3113333502185753,9.961455688432205,0.27924744903436444,0.34507288537135355,0.6461625282167043,3.7503499180705784e-35,True,0.35716160911826905,0.3897639431429219,0.3423820557705581,0.3530098703372109,0.3381199983203334,0.18294611754128995,0.19197444152283893
TVA,3318,4.814996790570881,4.336583393421435,0.47841339714944514,9.935902721395646,0.4200879593580826,0.5386379256326247,0.6464503996238834,4.8897402254816365e-42,True,0.3967990239304949,0.6208939491785219,0.5007443261806617,0.556816661496208,0.5395939884985126,0.2730497908075149,0.41796951356735174
PACE,3207,3.037878029705151,2.738009866433427,0.29986816327172344,9.870974421604014,0.2692954490961965,0.3303538964964612,0.6506729081334114,5.132132583602631e-36,True,0.2826765736593121,0.3159780234539177,0.3643547639813302,0.36296603551637485,0.3819689114441015,0.19046945089348144,0.1716325622220284
SOCO,3302,4.31249141712423,3.887166037959677,0.42532537916455326,9.86263711681031,0.36972543770483324,0.4787166753233624,0.6635094715852443,2.6968906022881322e-49,True,0.3427331607980595,0.543204714284534,0.4648398920910416,0.5313530373470466,0.5609048101300127,0.24992642589807137,0.22928136890909462
SC,3243,5.4317107073101365,4.943573947638789,0.4881367596713468,8.986795983342775,0.42299833398460535,0.5545219399237397,0.6467420570813139,4.7890407891082975e-37,True,0.48294687093146665,0.5640300387553413,0.6718497370730109,0.5978880640463236,0.4912926730103911,0.10443217608849586,0.45650897395243706
WACM,3308,3.2279300368325434,2.940931720988087,0.28699831584445606,8.891094682029651,0.2585070044983144,0.3173651661218149,0.6215633423180593,8.633033717409173e-26,True,0.3155178127661134,0.2798981563806962,0.3350130496631148,0.3512706161030589,0.35274659252147506,0.179002104443917,0.17770858580682006
LGEE,3338,4.681102266189963,4.291731759833378,0.3893705063565848,8.31792351918645,0.3396491994893699,0.4373446818486072,0.6286836935166994,2.148692822503169e-31,True,0.4342942256315538,0.5159104604849137,0.40847029553367475,0.3908413661421797,0.40854920055664395,0.2450255960430143,0.2998480321350174
BPAT,3356,2.8370494813743945,2.6057881789620003,0.23126130241239373,8.151472292980957,0.20371951437227984,0.2601441870114358,0.6384439359267735,2.9855252607714837e-31,True,0.20657550595469842,0.2917819114614813,0.3194159135935464,0.2742028084538213,0.2628194072877778,0.10216007535694406,0.1339779237704776
NEVP,3311,3.638873148754717,3.3533965825838625,0.28547656617085526,7.845191478261618,0.2542027833488249,0.3186217846000643,0.7384615384615385,3.7719946446591164e-82,True,0.3387305998408622,0.30940137934957773,0.3280109447863213,0.343093820401547,0.3198746697914489,0.16319319429715817,0.17577763469138044
FPC,3442,5.630069433214975,5.1924962108776604,0.43757322233731466,7.772075061025391,0.36642757625840316,0.5122867890570968,0.622501850481125,1.8267361289716736e-19,True,0.3567235238661528,0.5241886274877008,0.5896771290769081,0.6093391119696053,0.31856497059723826,0.27137681868010843,0.3670572162706074
PGE,3335,3.2829805617718404,3.038228377012442,0.24475218475939828,7.455182269714822,0.21657924891705246,0.2764878880768535,0.6189111747851003,2.3355529801835618e-23,True,0.26881343531128177,0.3218262942113967,0.3012545512251568,0.2786254497199601,0.28970249126682174,0.0780822448307981,0.14938219179048165
FMPP,3406,4.461891765961874,4.12968210950675,0.3322096564551236,7.445488906508861,0.2745808414147692,0.3860194535791113,0.6279602750190986,1.65874988112819e-20,True,0.2501307217279103,0.4051621262283909,0.4462689142001549,0.4863704947162377,0.2538108709729968,0.18353690695640784,0.2765940622186169
TPWR,3355,3.1818664876565257,2.9451338224467754,0.23673266520974995,7.440056524310854,0.20796566091313975,0.26475798447751964,0.6074116965836711,3.977559867165202e-19,True,0.28320885327192974,0.3377222592077226,0.2964021439877723,0.24556770324268087,0.27127109230769136,0.08793688345816959,0.10985333957253944
BANC,3272,4.71095695644,4.370523799587718,0.34043315685228126,7.226411958336838,0.29919938266943524,0.37987636388535806,0.6640675763482781,1.905808430598471e-38,True,0.32325989104761943,0.4636223149732368,0.3896890262516268,0.36926304880976923,0.42894175379045724,0.14414094879945435,0.227425591013347
SRP,3307,4.999291777275553,4.643448555667083,0.35584322160846954,7.117872640000064,0.3142831358483641,0.404053223768656,0.6997885835095138,2.0382006681596072e-52,True,0.37944610088378455,0.412868786638653,0.5038768984551389,0.4399526222095216,0.2897753906283499,0.2356973523368031,0.195418807129049
PSEI,2839,3.2539630712926706,3.0318961107107465,0.2220669605819243,6.824507706957654,0.19031558154354675,0.25438185255468926,0.5713286713286714,7.575487584908257e-08,True,0.2535736398929379,0.3069811854989153,0.3090671549014822,0.24803194151328345,0.2537377369431012,0.07278269270612388,0.07775151192470657
TEPC,3281,6.747418475032753,6.374553693456528,0.3728647815762253,5.526036112269076,0.31671687759330547,0.4323655308795761,0.6802184466019418,2.213748155919062e-49,True,0.3706006750229938,0.3922224740681588,0.5210505310275889,0.457141788403305,0.4239770299796144,0.19222708752445677,0.20942109617232915
SCL,3335,2.5221927174867993,2.3842762425048933,0.13791647498190582,5.468118039740063,0.11932298981572821,0.15707446765228128,0.6051401869158879,3.0835910675659593e-18,True,0.15108209626656932,0.20046719601571608,0.18271535044727763,0.18944915574593088,0.1648458456705636,0.024970394585090136,0.029029401135060594
AZPS,3393,5.169014634242828,4.907566693642504,0.2614479406003212,5.057984143986059,0.22223966134648312,0.29835973237967633,0.6833681280445373,9.141521833107851e-45,True,0.261155255576888,0.32378727154725445,0.38450980971048193,0.3326121941372187,0.21022379962254478,0.1455498179069065,0.14567881641657762
TEC,3442,4.99670093012305,4.752512809652644,0.24418812047040653,4.8869869116699975,0.1989240856965107,0.2919969030392975,0.6101694915254238,1.9831440433528827e-15,False,0.21765384699795026,0.2670418587854054,0.3801594466813783,0.3597134605145114,0.19981606959869175,0.15129204371092264,0.11647597991857131
NYIS,3360,2.6187745104174907,2.500596893918957,0.11817761649853475,4.5127068416323715,0.1008798869060521,0.13625628285667785,0.5989445910290238,1.3174774660953645e-14,False,0.12686675703575712,0.15441132426674972,0.14285628065332792,0.13978856463498535,0.16700126663010947,0.042543906415088005,0.03918709588436623
ISNE,3355,3.7464426326075984,3.6460131830947904,0.10042944951280788,2.6806616131983048,0.07810659121046816,0.12280175924935068,0.549502050380785,4.7148538148010505e-05,False,0.11888133271265205,0.1266583948612559,0.15648789309794486,0.1117530203739405,0.16468809874699666,0.00796420522167778,-0.0025808975331286944
WALC,3334,5.188748000538401,5.06469332380502,0.12405467673337979,2.390840270533614,0.0930421963804633,0.15654778598011446,0.6221751412429378,3.1397856153953324e-20,False,0.10571350362201791,0.18309387326739587,0.18649463163149857,0.19794825939642363,0.12854861464758244,0.01204972900045278,0.03275734764328273
LDWP,3341,4.016363175949296,3.9569304063543327,0.059432769594963575,1.4797658227437616,0.039781862816998054,0.08044369939575652,0.5352190793122573,0.002993067180526857,False,0.0665715135605481,0.1015546382641058,0.09192992164153549,0.08540661410329903,0.10736789012366953,-0.0462908980074959,-0.013970600249376141
CISO,3354,3.290159981719578,3.2609535419323112,0.029206439787267023,0.8876905667061967,0.0170685470337169,0.04281796357420628,0.544296788482835,0.00018134045745348218,False,7.245743036809536e-05,0.03995742058184504,0.029828331362126814,0.06319501494845808,0.058266538662688806,-0.022496073146269724,0.027110009958617634
FPL,3455,3.7626342907926817,3.7405646801522807,0.02206961064040072,0.5865467896894989,0.013433349575862907,0.03267816237687389,0.5870967741935483,0.0002004181375766626,False,0.025456898081104098,0.022973235514575235,0.020362626248043886,0.03909646378996741,0.019628659800808322,0.011010538857520099,0.01632780811268912
