ba,days,G3R_w8_mean,G3T_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
EPE,3303,4.539569221264214,4.042421765192983,0.49714745607123123,10.95142362280758,0.4430643794151268,0.547854704398866,0.6936720997123682,1.1450301923204238e-71,True,0.5350216614559258,0.5290814163386677,0.5387447988310616,0.5970966560392031,0.4076588834902449,0.45002063175661006,0.40928788972979596
PSCO,3283,3.6367684756204235,3.2780004921553303,0.3587679834650924,9.865021264623877,0.31393303734828715,0.40366765571522367,0.5809604759881003,4.136858457398191e-15,True,0.29726203394473344,0.29324297499291263,0.44422391835635444,0.49211631131003436,0.403582634927751,0.2585634099003027,0.3006758936759609
PNM,3307,3.310987387624432,2.991543141130266,0.3194442464941657,9.64800553720504,0.2846220717231243,0.3569224428822568,0.6373895976447498,1.2056586801147913e-35,True,0.3198943545807745,0.36953895835072287,0.38057756581269747,0.30824531531275723,0.22362383563362337,0.31822532110774093,0.31053816454643624
NEVP,3292,3.6014552926358716,3.3381812872802166,0.26327400535565487,7.310211677318007,0.23264312021343034,0.2933460980492959,0.7167458432304038,6.370121269937957e-73,True,0.3394208526963527,0.29115051126636354,0.3073728984283637,0.2898860256947982,0.26384486370267574,0.16676584416385196,0.16964916253878642
PACE,3146,2.9102222242900786,2.7201994725875016,0.19002275170257665,6.529492837919995,0.16293279000140404,0.2163702104872807,0.5902920608802962,5.221597567544161e-19,True,0.11905324149521401,0.16026780248074662,0.2724034387083762,0.22667247026637682,0.16784654316607184,0.20072326322415115,0.173738596088461
BANC,3225,4.580220201753898,4.369795735280559,0.21042446647333884,4.594199780891785,0.171225645700412,0.25187898720874496,0.5827300930713547,3.5937802351078273e-13,False,0.1865624116801561,0.3167917181906337,0.17942621454490276,0.165428992270333,0.240257274069501,0.14977230200652594,0.22997687377273213
NYIS,3308,2.5777734951101814,2.4632585089422685,0.11451498616791292,4.442399085301256,0.09594257785678967,0.1330664786350075,0.6064109301103521,1.4578089817299903e-20,False,0.12432744686450801,0.13919248523059227,0.13849318011751563,0.12167004552688851,0.18410758394285623,0.043697423775342366,0.03918709588436623
WACM,3191,2.995647380821861,2.903789084594412,0.09185829622744904,3.066392153346418,0.06049019375995793,0.12209645235263643,0.5141818181818182,0.1419999942808195,False,0.10231097828282959,0.08716922612752678,0.09104750707409262,0.11441605338717414,-0.009666134458707542,0.11065404143243432,0.16134975768883356
ISNE,3300,3.703381455252312,3.6052172201622663,0.09816423509004542,2.650664974055649,0.07314524543678437,0.12130928574319637,0.5605846298915605,2.6182451562200272e-08,False,0.11223597432267726,0.1120129850818364,0.12362777459784328,0.13480210473341,0.18506183492129147,0.008271360045169537,-0.0025808975331286944
MISO,3261,2.2940549319494017,2.242974700801883,0.051080231147518945,2.2266350485388284,0.016447124405855884,0.0870204919238873,0.538623005877414,0.00017593697706884412,False,-0.003323830178961339,0.07065300571197933,-0.007343565681266447,0.048315965748945484,-0.017936193581978385,0.06272243746322533,0.22069234656845238
AVA,3202,2.9655781839757043,2.9310733004752145,0.03450488350048937,1.1635128585357861,0.002124026304000068,0.06624234144970476,0.48758217677136595,0.20038287156868861,False,0.09250466507686658,0.07056421204414957,0.01369663614601583,0.0033567158703730524,-0.15220995428979037,0.06985206402296733,0.17579144765950522
LDWP,3266,3.959952547504059,3.926262156227902,0.03369039127615652,0.8507776512976508,0.010755665154101188,0.057766909206927834,0.4964772193518084,0.7615801574720146,False,0.0088736577603089,0.08017718247484167,0.056711031079119324,0.08523009433577526,0.06709498874533411,-0.07667172665037858,-0.013319599170510383
CISO,3328,3.2707470822951903,3.2488513683773195,0.02189571391787047,0.6694407536551414,0.007867741306953422,0.03639192058283492,0.5293185419968305,0.011444166796057892,False,-0.017434878823430755,0.03447429008696725,0.020312380448405238,0.05713577984182104,0.041998666524451556,-0.01739656568348916,0.027110009958617634
TEPC,3197,6.363164846207216,6.333474562595832,0.029690283611384687,0.4665961723289579,-0.022776079722873138,0.08163002668646589,0.4798657718120805,0.09310629335399177,False,-0.04896845720738315,0.07317762831392663,0.08825469141214931,-0.008371611943169722,-0.06589006884343583,0.03530344629104991,0.14206285787067097
IPCO,3210,3.106556488508662,3.103366304114059,0.003190184394603003,0.10269198086059873,-0.026400352900368372,0.033901831249139654,0.48153967007069914,0.06529029396691975,False,-0.014462295975676196,0.006623379056679518,-0.01674711569141423,-0.03866489229389928,-0.09853110673468334,-0.020452512933623268,0.24580808263901038
PGE,3235,3.008668392582929,3.0247202431304667,-0.016051850547537647,-0.5335200976986767,-0.04433162170895516,0.013476194434685092,0.5038971161340607,0.7076078819587099,False,-0.028087061668585198,-0.004328737004215479,-0.049964248296558475,-0.06564867954132451,-0.10965292731129171,0.02715039094923348,0.14106457630993358
NWMT,3233,2.269117801981639,2.2860688280967127,-0.016951026115074083,-0.7470315600305376,-0.040656900046817206,0.0065660926235381785,0.4902173913043478,0.3130521967174311,False,-0.03304412779109194,-0.010348219943560288,0.019088736115632606,-0.04208025529393719,-0.1604695364278033,0.05186463881053228,0.07666893255766072
