ba,days,G3_w8_mean,G3Tprev_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
AEC,2036,6.958765530228819,6.0199670903218765,0.9387984399069434,13.490876159410902,0.8126252188082624,1.0758464542565649,0.6854700854700855,1.4402807928226957e-37,True,0.764787437431209,1.2413044487150657,1.3341768062401693,1.0755178837316337,0.8233025497384416,0.594517291264479,0.6272062290142847
AECI,3364,6.24568094435495,5.418777737190715,0.8269032071642345,13.239600526050191,0.7470843092444833,0.9054352882463753,0.6609049313675648,7.240047740823731e-47,True,0.8962731951157337,1.0136447877286958,0.9794282359512054,0.8740499392298814,0.8498273282233645,0.5796967465930264,0.538369680036605
PNM,3375,3.463432886641407,3.0310909780447046,0.4323419085967017,12.483045658666029,0.3938189647756068,0.47166806831031427,0.7422892392049348,1.754585343733889e-79,True,0.45403092560405944,0.476453526146518,0.483031062777055,0.45414197380750454,0.506699299808254,0.33878299644508825,0.2894709866161027
IPCO,3371,3.6235108314180557,3.1825432854179616,0.44096754600009386,12.16962130143604,0.39746207926402877,0.4830873221394528,0.658175355450237,4.053553063676712e-39,True,0.4337336832797853,0.5677417589097148,0.4899445408504556,0.5207011084514079,0.505990450983734,0.2560507205681397,0.27297831284667295
AVA,3326,3.3955098572401727,2.9840129953893766,0.41149686185079587,12.118853402041227,0.36900292895629766,0.45263693413324363,0.6487804878048781,8.660411004966358e-34,True,0.38025008767833146,0.5135914839405235,0.5370853311302689,0.4790092699631126,0.4549066405672587,0.23526670822576612,0.23197520029064264
SWPP,3253,3.3328100803053915,2.9400105127951686,0.3927995675102232,11.78583711779431,0.3525970140184953,0.43405442777055325,0.6632707774798927,8.193340488854225e-46,True,0.4539485363200119,0.4987376225790606,0.4383875317737794,0.421249960959535,0.429068764102093,0.2752800758773349,0.19947574451262715
MISO,3369,2.628517888033085,2.318869756424288,0.309648131608797,11.780331913225295,0.27874403117263885,0.33929544391483035,0.650330396475771,5.279719849965536e-38,True,0.28983554764399555,0.37927940725516407,0.3688598999341754,0.36362627134432624,0.3117630556324579,0.19488843837705236,0.23946857755942816
CPLE,3350,6.2131836665636095,5.494934095784848,0.7182495707787607,11.560089147920047,0.6372566847211907,0.7954310704585588,0.6442922374429224,5.312992595765762e-42,True,0.8026580669179982,0.7087299126786922,0.8973692816532508,0.9066159828154785,0.8475002295469732,0.3518727263425137,0.43749011250126185
JEA,3376,5.637877954947342,4.99977823830009,0.638099716647252,11.318083182118329,0.5573700354379865,0.7166782879291503,0.6695906432748538,2.1343987389761332e-45,True,0.6101882244268435,0.7176516328998706,0.8421252087400989,0.8319012786528491,0.7605811116761535,0.3015799060941002,0.32207668829031905
ERCO,3376,3.773124946409783,3.3486203309811136,0.42450461542867,11.250743653018862,0.37686505869243264,0.4766248186611319,0.6703354297693921,6.632811888148702e-51,True,0.4922373048848851,0.5445751186014065,0.5130816859183072,0.3741791959161191,0.5028180732379758,0.2634540301933765,0.24599161947314382
DUK,3362,5.101062229080684,4.535023683093122,0.5660385459875622,11.096483841358156,0.5034191527036332,0.6295035733191576,0.6606229660622966,6.37054644221504e-51,True,0.5568781278075259,0.6297235788752151,0.6616204307812807,0.6992413582079383,0.6295187697016105,0.17365174973465086,0.5628021926169716
EPE,3353,4.611247475716486,4.100018635356786,0.5112288403597,11.086562650387057,0.46010484700447657,0.5645116388332693,0.7245070422535211,1.893328279068411e-82,True,0.48250198602727473,0.5918367579940295,0.48390929978952085,0.5853641876825306,0.578681004214988,0.3921573322463525,0.43994422906554687
PSCO,3352,3.7861880410777147,3.3729493952555507,0.4132386458221645,10.91437195772608,0.37223071071017366,0.45603670607292024,0.6210810810810811,1.5656108815857479e-25,True,0.3701113906907535,0.4013276000762044,0.4897480393462461,0.5191162510596445,0.5626181761355048,0.23613612837361356,0.2763831788633984
PACW,3115,3.9744307973428996,3.5415832537400704,0.4328475436028289,10.890805895833147,0.38834803738394835,0.4775523068209943,0.646095717884131,1.230857374142117e-31,True,0.4266666012068624,0.5143742386549519,0.5293167752325978,0.5525053209360278,0.47506178720886527,0.23359454687047762,0.2681766053645561
TVA,3311,4.793424268060978,4.27885964747913,0.5145646205818476,10.734802341833968,0.45986959524887827,0.5728687675292216,0.6540642722117203,3.5030049427665237e-46,True,0.3585100517336314,0.6142136372527813,0.6531862388051906,0.6274802192084339,0.546414095472818,0.3082410216321204,0.43281735060269594
CPLW,3345,5.63562675006585,5.044748498306539,0.5908782517593101,10.484694568397488,0.5267438538102555,0.6558733067904378,0.6581280788177339,1.0815248693704563e-46,True,0.6718457087962447,0.7338575438374887,0.7008019763745734,0.6947131171836909,0.6211292940352923,0.27528627664766536,0.38677145357015624
SOCO,3292,4.314038871702411,3.8669038206659585,0.44713505103645235,10.364650489577148,0.3952551579562211,0.501258347811722,0.6680040120361084,1.0635315794495168e-51,True,0.40605233869876534,0.5291913475375789,0.5627305700983577,0.5493072558109791,0.5100168911091301,0.24614005398449995,0.2696349828122018
