label_base,n,err_own,err_sat,err_sun,share_sun,share_sat,share_own
Thanksgiving,476,6.474006906744522,5.475269487943628,6.895325639751114,0.1134453781512605,0.657563025210084,0.22899159663865545
Memorial Day,474,5.9485798024302525,5.348050995117857,4.275566557901432,0.6434599156118144,0.20675105485232068,0.14978902953586498
Independence Day,511,4.610928226939646,3.6964078463976735,3.5633765762643135,0.4637964774951076,0.38551859099804303,0.1506849315068493
Juneteenth,343,4.577629615741378,4.822773319662764,4.80544440814216,0.40233236151603496,0.27113702623906705,0.32653061224489793
Christmas Day,560,4.541629613174706,3.202099572794701,3.6631941380524773,0.24464285714285713,0.6785714285714286,0.07678571428571429
Day after Thanksgiving,475,4.360943147140791,3.7131808799421595,4.307995072656222,0.2463157894736842,0.4652631578947368,0.28842105263157897
New Year's Day,604,4.296433345763868,3.484821911754856,3.357928389520014,0.4503311258278146,0.40066225165562913,0.1490066225165563
Veterans Day,600,3.9722973325579143,4.495211546639416,5.463250323622303,0.105,0.4266666666666667,0.4683333333333333
Christmas Eve,474,3.957217953906815,3.1023025723275848,4.070086096552934,0.1540084388185654,0.7194092827004219,0.12658227848101267
Columbus Day,474,3.8333003549243,4.837675246648827,5.436414547428922,0.07172995780590717,0.270042194092827,0.6582278481012658
Labor Day,472,3.6630750214024426,3.4277264434780985,2.901633983844939,0.5021186440677966,0.3072033898305085,0.1906779661016949
Super Bowl Sunday,474,3.5944071330650496,3.367257978884516,3.5944071330650496,0.39451476793248946,0.6054852320675106,0.0
Presidents' Day,476,3.4049837030879617,3.9466146366277526,3.957770031553437,0.26260504201680673,0.20378151260504201,0.5336134453781513
New Year's Eve,417,3.251556868868556,2.9394511425079104,3.641286861652376,0.2302158273381295,0.5539568345323741,0.2158273381294964
MLK Day,473,3.1519751005838126,3.400853419323969,3.8901049660021956,0.12896405919661733,0.3107822410147992,0.5602536997885835
