ba,days,G1_w8_mean,G1_w8_median,G2_w8_mean,G2_w8_median,G3_w8_mean,G3_w8_median,G5_w8_mean,G5_w8_median,G7_w8_mean,G7_w8_median,G1_w2_mean,G1_w2_median,G1_w3_mean,G1_w3_median,G1_w4_mean,G1_w4_median,G1_w6_mean,G1_w6_median,G1_w12_mean,G1_w12_median,G1_w16_mean,G1_w16_median,G3_w2_mean,G3_w2_median,G3_w3_mean,G3_w3_median,G3_w4_mean,G3_w4_median,G3_w6_mean,G3_w6_median,G3_w12_mean,G3_w12_median,G3_w16_mean,G3_w16_median,G7_w2_mean,G7_w2_median,G7_w3_mean,G7_w3_median,G7_w4_mean,G7_w4_median,G7_w6_mean,G7_w6_median,G7_w12_mean,G7_w12_median,G7_w16_mean,G7_w16_median,G1_w8_peakerr_mean,G2_w8_peakerr_mean,G3_w8_peakerr_mean,G5_w8_peakerr_mean,G7_w8_peakerr_mean,seas_G3_w2_mean,seas_A1_mean,seas_R2A1_mean,seas_R2A2_mean,seas_S4_w52_mean,seasonal_days,wx_G3_w8_mean,wx_G3R_w8_mean,wx_G3Rprev_w8_mean,wx_G3T_w8_mean,wx_G3T3_w8_mean,wx_G3Tprev_w8_mean,wx_G3T3prev_w8_mean,weather_days,best_G3_w2_mean,best_R2A1_mean,best_G3T3_w2_mean,best_BEST_mean,best_BESTprev_mean,best_days,share_morning_peak,regime_switches_per_year
AEC,1864,7.005198079844702,5.723032214691425,6.977271843679537,5.547904135316092,7.048075153418457,5.616632988308842,7.16538985114058,5.675134932380194,7.352206338149785,5.809010966608636,6.227299630701856,5.001141323021158,6.239274157117807,4.954539601873827,6.359546639631768,4.987988854347229,6.65687106734031,5.2675313018178205,7.735298367580053,6.210170997660012,8.50480169538026,6.916283728151853,6.400600402167939,5.099814981292089,6.437553981688658,4.920413578853003,6.490376224373423,4.968918010736235,6.733128863310859,5.315066938968613,7.776980251205889,6.3008380357318785,8.535782110810928,6.881335090577901,7.000938793145772,5.480451394013253,7.050070786633461,5.491061904943088,6.976631297544966,5.4839962264771955,7.12745067704629,5.5881023918857,7.993604475437463,6.432664109814155,8.718187721132933,7.140434158879929,3.0767167381974247,3.1201716738197427,3.179184549356223,3.2317596566523603,3.3449570815450644,6.534301403852812,6.510055078166219,6.244322475581317,6.208177148092176,7.181942792626509,1769,6.574524264141518,5.2753844146584985,6.131199630955953,5.832630202069183,5.529674173906988,5.7249309080039446,5.482949127555528,1800,6.032516008310063,5.952421563598273,5.66734913489105,5.359946000168225,5.350029404643304,1699,0.19455600178491744,59.568669527897
AECI,3403,6.509710679339814,5.517951086334783,6.544872872923676,5.566146925377493,6.639525801649305,5.668016570862886,6.7617580204304,5.727016243765929,6.933546167852259,5.92755555341536,5.332011230951377,4.61338619891875,5.437011077731387,4.704429641259378,5.564915877789642,4.79307835979385,5.986131039953925,5.11425034694668,7.597762124682054,6.435708136591464,8.702256353352613,7.643411357257322,5.570334944176602,4.711730481831633,5.684813210320525,4.827996721203051,5.722886450953075,4.909488612705041,6.125958480983295,5.149929990378496,7.701659566613716,6.63411855196875,8.80104982660143,7.711322684914484,6.112934563298612,5.166410070633537,6.233436352546519,5.276113062827662,6.1049793542786785,5.19240019963532,6.449870477783452,5.474251919080708,7.953585721084505,6.870482050995823,9.00128644319546,7.860089471202095,3.315897737290626,3.335292389068469,3.375550984425507,3.496914487217161,3.5580370261533942,5.538136891933284,5.230219485445366,5.086253824668417,5.069305155778097,6.316866599075661,3458,5.888569710613888,4.7349820758325265,5.534864982983366,5.222363997965152,4.933622402748656,5.1717040124482105,4.976589558684212,2919,5.222639195137544,4.947930830994654,5.01101448175124,4.694108740013387,4.697710846703664,2865,0.3489414694894147,89.94401998236849
AVA,3350,3.730611800524224,3.1244361829902694,3.5179301725712917,2.842066119347131,3.541485190006256,2.8500811800801253,3.5811515502256124,2.880314108632997,3.6788036349559685,2.9698134509963463,3.0188667850483677,2.6793637857680768,3.0883554466487393,2.713141945680862,3.1765697615613577,2.760930634127555,3.4445228186617434,2.9454492236849616,4.281107754799132,3.53895701181055,4.711199095019088,3.8423530598376106,2.840968876527758,2.3594717068369806,2.901719600078845,2.353497751064008,2.9605487697699213,2.4072814332287518,3.2411636389951455,2.644778913414456,4.109667574359666,3.322894319274785,4.537789675893409,3.665021623139887,3.1222018440029466,2.6083147963118862,3.15206770788735,2.5758312136550128,3.1396638397481436,2.5583127368943734,3.397384209206516,2.772629711931173,4.209915610867256,3.3997569900799087,4.611686355657547,3.7236419049966685,3.2134328358208957,3.1352238805970147,3.062686567164179,2.9934328358208955,3.064179104477612,2.801550041489672,2.7781137481159104,2.635248827660082,2.611341786695703,3.143724684711465,3415,3.210939696482621,2.8421343532063843,2.995536723381901,2.8296381309585743,2.555592159818347,2.8501068457731416,2.6857824386022715,2841,2.5581494289610385,2.4843348107706205,2.3974024360321815,2.28160238883098,2.3923062084732245,2939,0.3540513336688475,102.27
AZPS,3373,5.24050508271985,4.415702240181315,5.213152313349013,4.3635330672227255,5.267822880701321,4.4342824088243855,5.36534322014246,4.517860779498398,5.500372910708902,4.62780570427068,3.9015960439545503,3.3422930270294806,4.057618369667082,3.4496118874080737,4.265899796495797,3.596445069672121,4.717572433505449,3.949630279825589,6.3554262223007045,5.50537695998218,7.405351428833991,6.560804471138021,4.012873970177856,3.31387782975756,4.1306498184372265,3.435193926932642,4.291509217205057,3.5359945430765185,4.737361978578691,3.941063813164826,6.37768834989781,5.502457967400378,7.4353277725149125,6.537998787130826,4.542166169091365,3.808224026176723,4.601917246442049,3.8410115478946407,4.631013550494864,3.8801271859134534,5.016923628981002,4.173389764589126,6.554055130783192,5.649900510904193,7.589710590637493,6.705490889918862,2.1497183516157725,2.1206640972428104,2.1399347761636527,2.2093092202786835,2.2884672398458346,4.021744038880073,4.378707992405904,4.016497769795271,4.068932604026831,5.127348521085766,3449,4.8302527002302265,4.408730843903371,4.549886443876589,4.600439939507439,3.9750696291679515,4.5524118715920965,3.996799121716685,3026,3.7342017477733003,3.7476620019715665,3.5209673505245704,3.513976062964055,3.547053131907112,2967,0.1921637135013726,43.964275126000594
BANC,3202,5.0212408842096785,3.997424828036454,4.783563477921272,3.56775718749405,4.822120133244289,3.604738864313271,4.906385999776205,3.6699822113250633,5.038174480771978,3.799360141783319,4.114569963848259,3.5240207366364267,4.184348264979702,3.5727057755898843,4.279690407084185,3.575976292034513,4.630795378693434,3.7544403449497965,5.905935681707506,4.600524361340444,6.809852448377182,5.364937976832531,3.9459743313982227,3.0651247551307197,4.019085807516808,3.14154834501508,4.070402759932287,3.161479280553702,4.422563512417531,3.3378298818824206,5.74841825696963,4.264431063194873,6.691066750471399,5.113861389832696,4.396034738498182,3.450705651143177,4.416370311398511,3.4785845715447383,4.3668117111279345,3.3914023117802516,4.658365291641795,3.5378212853758324,5.924446424509569,4.458090852512689,6.837537205049994,5.210959529918815,1.608057464084947,1.6096189881324172,1.6249219237976265,1.6283572767020613,1.6452217364147408,3.9478479640724036,3.8653430593824747,3.717185334814061,3.668955366690126,4.43977629541882,3345,4.3959513249264495,4.2710460420720695,4.321615489560479,4.095229781016128,3.305801819062286,4.09479354285989,3.4872530292923907,2895,3.482775208366849,3.4015253129025655,3.1062327582449343,2.9665156325564803,3.1412033310239713,2759,0.08076433121019108,39.696127420362274
BPAT,3407,3.0096320297931016,2.6307441174350563,2.900597142152412,2.469367005730525,2.9085216004059746,2.486743470161785,2.9119494221409425,2.491886471379043,2.992267108300793,2.551904379766733,2.508992667974211,2.2274577270325464,2.556278259006547,2.286635951813221,2.613985209877278,2.293928353059786,2.801348440507787,2.440073930441708,3.414277035943891,2.9988939241906136,3.7409661595675705,3.291594394644828,2.4477661247360394,2.078112568418156,2.4765678061619223,2.1283830528237733,2.5103747046315554,2.148306650067622,2.695791295700723,2.281128845946399,3.323053172234313,2.8887473029222717,3.660236934852588,3.243293761546564,2.638539546606316,2.2520258613468194,2.6749315045984137,2.272828827512765,2.629756686615048,2.246338996038895,2.793597197146499,2.335381144947412,3.3818829223995084,2.890659615998209,3.706891515291229,3.270949918547525,3.392133842089815,3.174933959495157,3.1265042559436456,3.136483710008805,3.1843263868506018,2.4351964480283543,2.379790043199448,2.277226174999667,2.256251475485764,2.698798561776805,3461,2.7045403771892444,2.327716562885589,2.518143505659201,2.491659210234845,2.331215683067179,2.4691490355576784,2.370049510314504,2962,2.3213505448593716,2.237765236157587,2.2333747669133626,2.113174154929295,2.1495065475771242,2935,0.46115537848605576,90.6960669210449
CISO,3340,3.7445747365523347,3.3329349841387232,3.2866610908260245,2.7901059054957145,3.2897135529842068,2.8034326264319773,3.310539179227192,2.836906117512513,3.3922426267345602,2.9074999885927464,3.299886741383739,2.976729682409439,3.352712264948319,2.9925934192263135,3.400534617493345,3.040044916637106,3.563598610233474,3.1848746269763604,4.140169286668457,3.6875763120645546,4.518466488544996,4.059915001970211,2.866024730063619,2.463038094400731,2.919077616941864,2.4654747794683733,2.9275913723580635,2.456191696041901,3.1002200915876164,2.6471150401389254,3.7315295605090393,3.181065808303986,4.160740131641154,3.6455679443000104,3.1373901324759914,2.669315082519276,3.1687763636577704,2.6948514161199046,3.0868874856362027,2.614398569493331,3.215799382962725,2.746640970603228,3.8074232903701386,3.287764277622019,4.225148418938967,3.731945246500988,1.0356287425149702,1.051497005988024,1.0565868263473055,1.0760479041916167,1.0949101796407186,2.884993876928705,3.562118282300822,3.237779817488962,3.4885881679453483,3.3308508552347393,3424,3.222951772655355,3.2147949349099223,3.2256530667584102,3.190408597165088,3.1009255437226275,3.183020869459965,3.1046825467677164,3106,2.7623705394735008,3.079573482183583,2.7141997355934517,2.9827903484650617,2.9956171775423366,2817,0.03856749311294766,21.21511976047904
CPLE,3369,6.475380425155769,5.5088142688077095,6.425340635078312,5.440610189892733,6.502180382631938,5.446286048487178,6.623309498576073,5.500435738945121,6.799878355904863,5.65331461743733,5.696956474928702,4.769041556139288,5.751344588640888,4.84723581387777,5.855930127490624,4.959406846908595,6.1187997763195145,5.171712092023311,7.2942976664897605,6.348989665165412,8.159839965382163,7.210318945990435,5.879946500747612,4.830866713492512,5.928947926320494,4.892951937777957,5.9545689194645135,4.946876946852793,6.17218423845439,5.192555516340899,7.321697553391412,6.319540351938328,8.177439575331324,7.173781030917496,6.4409803815704825,5.417651491087558,6.502442807860836,5.387645872893506,6.361309788493782,5.282985924892627,6.528269401317962,5.361263340276377,7.5429839802491445,6.506012113605964,8.368963685835702,7.354806778380353,3.2917779756604335,3.314039774413773,3.350549124369249,3.391807658058771,3.468685069753636,5.919384106035114,5.655045505949655,5.5226873706985105,5.4477446144547255,6.386120750993976,3445,5.837166718238413,4.747703114747302,5.5541615453382205,5.194487294336782,4.94550035773305,5.219602781357174,5.056460860942016,2919,5.3751270526301225,5.22747524939446,5.081756263365849,4.816977010601061,4.902893394096058,2763,0.2632892438233092,75.67364203027604
CPLW,3380,5.84033906965831,4.981691318942591,5.7948926417133615,4.9829162501960305,5.863741453768167,5.025351101894138,5.969708235619453,5.042208363654969,6.116575084590629,5.190120921991625,5.116750396329233,4.142444839719287,5.1999548006626375,4.28178428608909,5.27586484984945,4.414811489738624,5.521312246785165,4.679850113811367,6.557860462129617,5.7987338996419195,7.285147201132199,6.5439577165161475,5.275453861090731,4.229782097514047,5.347655891376892,4.332425446777859,5.369938302377276,4.393753868572556,5.553908513588429,4.6206424915611795,6.562317914713067,5.796759953223855,7.277694135368677,6.551106727919868,5.823755651484886,4.75746790038095,5.830633801489452,4.796755242491486,5.723324995926382,4.755972111735225,5.853025890339114,4.9196900893257896,6.760341898239128,5.921294733833719,7.425038762012397,6.586469627646124,3.4485207100591717,3.527810650887574,3.5440828402366864,3.6150887573964496,3.7035502958579882,5.340162673860909,5.072754866611877,4.957759256619922,4.891605689704034,5.671551685214817,3450,5.415345856291985,4.344943182980823,5.128524741805977,4.828201720582562,4.602990737173533,4.826177207801919,4.650721441861307,2934,5.015518672241389,4.825854664628204,4.7981439197932705,4.538562231488827,4.561496654519304,2789,0.36034912718204487,87.74644970414201
DUK,3400,5.418385461198031,4.62408586521802,5.301730661813094,4.5301975728596116,5.35141793670619,4.571664207026225,5.447331120369308,4.568729059109581,5.589150800878502,4.742657325252406,4.642868655459681,4.045543996533606,4.725490172945633,4.119110902054892,4.822394309942074,4.19658074327306,5.077103653557311,4.3311937692292695,6.19449135642024,5.4034198814855925,6.996519450020409,6.26199703062133,4.693700362836437,3.9068262834214447,4.765159242343127,3.9621404515354968,4.803560410254259,4.070104508080391,5.024072226090689,4.261772306440934,6.132184173531446,5.370849329304397,6.9425935619136725,6.239426440152297,5.1190907678821835,4.3333733869756585,5.203598742911707,4.433507413902501,5.1257825777748725,4.344964781977305,5.311240542149983,4.535940457725763,6.310656286862871,5.507166256670234,7.098691685510695,6.338620720675809,3.280588235294118,3.2855882352941177,3.291176470588235,3.342941176470588,3.462941176470588,4.70197796537705,4.464841619944994,4.350663201460548,4.284978216505508,5.1688094604899115,3454,4.7441182294600885,3.889391626145353,4.486537853644046,4.205547091162623,3.8687907383837765,4.233998762827533,3.98833858663449,2954,4.222706192742481,4.076234968792064,3.9581172777128324,3.778784611529907,3.842444277795409,2838,0.298879202988792,74.55397058823529
