ba,days,G3_w2_mean,R2A1_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
SWPP,3676,2.7921321892629947,2.5666145192441485,0.22551767001884587,8.076898038211185,0.18635407298262527,0.26421490200079834,0.5808600847970927,1.4634576660255357e-20,True,0.23759549382002296,0.15339113859627368,0.07875157963910019,0.10132579341405981,0.17586895807278677,0.37959943048913003,0.4804914081947045
AECI,3785,5.536459737010943,5.123771797605952,0.4126879394049916,7.454004165264571,0.3420128656647096,0.47725100363372036,0.5712221901184629,5.428157421230436e-17,True,0.25301424328666516,0.3936520886283963,0.17260437519521177,0.2203846221724677,0.3566240330901361,0.7164482949393749,0.7966107084484628
TPWR,3789,2.900300685907159,2.697253620894637,0.20304706501252254,7.000897044887373,0.17091080927718197,0.23532114823869332,0.5950937950937951,3.5595522588921434e-29,True,0.19197356658068765,0.08541838547088453,0.11973480135820759,0.12049442304917558,0.10237195065422106,0.31369758148145066,0.5124701525113626
LGEE,3773,4.349467252630165,4.045765234200099,0.3037020184300667,6.982510748791479,0.25597402213199627,0.35451158695307927,0.5657971014492753,1.1331434497315564e-14,True,0.27146396740010703,0.15498799715996578,0.1509011821757743,0.1674159255479398,0.14894849441906796,0.6074409906999434,0.6573420388719018
PJM,3758,2.718749616259461,2.529723895731296,0.18902572052816502,6.952671161687643,0.15908220439511794,0.22001308538646797,0.5730075625363583,1.1336597586204825e-17,True,0.16731349233413326,0.11956380846532054,0.1260072367409937,0.07430023724663695,0.06455309663452985,0.36251325296216347,0.4396363578098502
MISO,3778,2.1900880949302284,2.0394363716712673,0.15065172325896084,6.8787974149396165,0.12441988919556216,0.17719535640092196,0.5535610885929357,3.2895563668873075e-10,True,0.18999210216750445,0.11676512735905019,0.029441270658683124,0.05658784030043303,0.06658588029198928,0.30562325131751983,0.3080022238833967
DUK,3781,4.681451308674552,4.360702098102762,0.3207492105717885,6.851490903631794,0.26268260824015877,0.382574962278988,0.5724616719699162,1.613914765657098e-17,True,0.30412252925468136,0.18920309595878818,0.15571779783100875,0.15271485882210323,0.20917079866618593,0.6328542664798333,0.6350950992404439
CPLW,3774,5.288178089826199,4.938439554454565,0.34973853537163435,6.613592232161924,0.28399300157172236,0.4139041938783374,0.5629887054735013,1.4109400115782268e-13,True,0.36088043045368534,0.14797903417441832,0.12241862362329584,0.08848462766289183,0.19319562268133705,0.7706950660098957,0.8184252161916927
EPE,3774,3.658406380265391,3.4201250448529623,0.23828133541242927,6.5132549707379335,0.19058702212158238,0.28207507005455834,0.5714285714285714,4.893056961286451e-17,True,0.2291518637145689,0.16521942678076784,0.03454908571963415,0.05172826906741623,0.08388896873589725,0.5202043128057431,0.6225112056426345
GCPD,3784,1.8284615400732562,1.709843831940332,0.11861770813292422,6.487295769325936,0.0975096066343007,0.13902204656524864,0.5760115606936416,3.8108917921159415e-19,True,0.12173379475484455,0.09816811979601084,0.08008527291477929,0.08136269256090489,0.025376104426099683,0.22066452886294485,0.21217710877930754
TVA,3741,4.369401303010189,4.089836332783249,0.27956497022693977,6.398244309451286,0.21997076256566275,0.33801367187850795,0.5648743424897721,3.366637222870946e-14,True,0.24402136353729184,0.1059355631940141,0.07054057432538141,0.12641962103115714,0.19206787563899674,0.649650324784523,0.609929541264405
CPLE,3769,5.889672747635803,5.526739808416467,0.36293293921933534,6.1621919378291725,0.28864055603312405,0.44334755552643923,0.5733758700696056,6.965635444322613e-18,True,0.2737477649412618,0.2465042641976904,0.18088110737183652,0.12733062153656063,0.20229852024295258,0.7687323872205379,0.7797185984453681
BPAT,3788,2.4428579643450474,2.2989803995242055,0.1438775648208418,5.889722895101545,0.11486023362426862,0.17173205238365846,0.5532467532467532,3.913943150939613e-10,True,0.20536185067726953,0.07608541059184544,0.07230717070150562,0.06075288171744578,0.03454608766163998,0.27412337533296244,0.3040736351560821
FMPP,3708,4.476614356736635,4.228981942876433,0.24763241386020277,5.531689668276942,0.18693110580167194,0.30758328858959183,0.5754107981220657,1.31955802586506e-18,True,0.26645795115037685,0.1718755216638533,0.07442588199079407,0.045973869358835046,0.06667953792488997,0.6584520063878756,0.4952296354031052
FPL,3693,3.7638086641957034,3.5561792187237162,0.20762944547198708,5.516471850631543,0.1515182519527118,0.26302711493162395,0.5712592592592592,1.2718069329385777e-16,True,0.16426204436286676,0.11314835194353205,0.050971371946420194,-0.005182226472757993,0.001044694811376088,0.6492641926376539,0.5330156133258597
SC,3630,5.054171653614662,4.776121234711309,0.2780504189033535,5.501404343963988,0.21154257160151332,0.3443369273768015,0.561609907120743,2.6710370818408655e-12,True,0.23620370866531798,0.19682014723296676,0.1442340089049348,0.036169013584864906,0.06940040442898684,0.7371053090233145,0.5663917471398635
FPC,3778,5.514966326586812,5.2131327798978155,0.301833546688996,5.472989839192715,0.21748220488480904,0.3869912663478083,0.5658085044836564,1.0540524424187282e-14,True,0.32905159967245823,0.20723742483463317,0.10645074746618427,0.061146396571061745,0.0407116743491474,0.8042448082603557,0.6025232142054228
AVA,3742,2.8086118077017637,2.6560599660557047,0.1525518416460585,5.431574460654601,0.11423373062740574,0.18796262219121299,0.561439438267993,7.194187879466014e-13,True,0.23662302366811724,0.06579978906362005,0.060566725478676725,0.08194053599810407,0.005744178766059747,0.3202180947662208,0.3232587122691815
