ICAO,USAF,WBAN,STATION NAME,STATE,LAT,LON
KBOI,726810,24131,BOISE AIR TERMINAL/GOWEN FD AIRPORT,ID,+43.567,-116.241
KBIL,726770,24033,BILLINGS LOGAN INTERNATIONAL AIRPORT,MT,+45.807,-108.546
KPDX,726980,24229,PORTLAND INTERNATIONAL AIRPORT,OR,+45.596,-122.609
KTPA,722110,12842,TAMPA INTERNATIONAL AIRPORT,FL,+27.963,-082.540
KELP,722700,23044,EL PASO INTERNATIONAL AIRPORT,TX,+31.812,-106.377
KABQ,723650,23050,ALBUQUERQUE INTL SUNPORT AIRPORT,NM,+35.042,-106.615
KCLT,723140,13881,CHARLOTTE/DOUGLAS INTERNATIONAL AP,NC,+35.223,-080.954
KGEG,727850,24157,SPOKANE INTERNATIONAL AIRPORT,WA,+47.622,-117.528
KSLC,725720,24127,SALT LAKE CITY INTERNATIONAL AIRPORT,UT,+40.771,-111.965
KOKC,723530,13967,WILL ROGERS WORLD AIRPORT,OK,+35.388,-097.600
KCAE,723100,13883,COLUMBIA METROPOLITAN AIRPORT,SC,+33.942,-081.118
KIND,724380,93819,INDIANAPOLIS INTERNATIONAL AIRPORT,IN,+39.725,-086.282
KMWH,727827,24110,GRANT COUNTY INTL AIRPORT,WA,+47.193,-119.315
KBOS,725090,14739,GEN E L LOGAN INTERNATIONAL AIRPORT,MA,+42.361,-071.010
KLAX,722950,23174,LOS ANGELES INTERNATIONAL AIRPORT,CA,+33.938,-118.387
KCHS,722080,13880,CHARLESTON AFB/INTERNATIONAL AIRPORT,SC,+32.899,-080.041
KRDU,723060,13722,RALEIGH-DURHAM INTERNATIONAL AP,NC,+35.892,-078.782
KJAX,722060,13889,JACKSONVILLE INTERNATIONAL AIRPORT,FL,+30.495,-081.694
KSEA,727930,24233,SEATTLE-TACOMA INTERNATIONAL AIRPORT,WA,+47.445,-122.314
KBNA,723270,13897,NASHVILLE INTERNATIONAL AIRPORT,TN,+36.111,-086.688
KMCO,722050,12815,ORLANDO INTERNATIONAL AIRPORT,FL,+28.418,-081.324
KSMF,724839,93225,SACRAMENTO INTL AIRPORT,CA,+38.701,-121.595
KSGF,724400,13995,SPRINGFIELD-BRANSON REGIONAL AIRPORT,MO,+37.240,-093.390
KMIA,722020,12839,MIAMI INTERNATIONAL AIRPORT,FL,+25.788,-080.317
KPHL,724080,13739,PHILADELPHIA INTERNATIONAL AIRPORT,PA,+39.873,-075.227
KLAS,723860,23169,MCCARRAN INTERNATIONAL AIRPORT,NV,+36.072,-115.163
KAVL,723150,03812,ASHEVILLE REGIONAL AIRPORT,NC,+35.432,-082.538
KPHX,722780,23183,PHOENIX SKY HARBOR INTL AIRPORT,AZ,+33.428,-112.004
KTUS,722740,23160,TUCSON INTERNATIONAL AIRPORT,AZ,+32.132,-110.956
KDFW,722590,03927,DALLAS/FT WORTH INTERNATIONAL AP,TX,+32.897,-097.022
KMGM,722260,13895,MONTGOMERY RGNL (DANNELLY FD) AP,AL,+32.300,-086.407
KATL,722190,13874,HARTSFIELD-JACKSON ATLANTA INTL AP,GA,+33.630,-084.442
KSDF,724230,93821,LOUISVILLE INTL-STANDIFORD FIELD AP,KY,+38.177,-085.731
KJFK,744860,94789,JOHN F KENNEDY INTERNATIONAL AIRPORT,NY,+40.639,-073.764
KDEN,725650,03017,DENVER INTERNATIONAL AIRPORT,CO,+39.847,-104.656
