ba,noise_pct,n_clusters_at_1_noise,clusters
AEC,7.234815796506403,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
AECI,9.610401290192534,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
AVA,3.1173415336890855,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
AZPS,8.1225061976421,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
BANC,5.49693897992462,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
BPAT,3.036654489531009,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
CISO,4.484451953959811,2,"Mon,Tue,Wed,Thu,Fri | Sat,Sun"
CPLE,7.954203704401526,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
CPLW,7.0988930393989715,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
DUK,7.323761436421543,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
EPE,7.549846196683076,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
ERCO,4.698697312734956,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
FMPP,3.95753165790157,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
FPC,4.970782510955042,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
FPL,3.3240944205639686,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
GCPD,2.6792423333474606,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
IPCO,4.2341505901744565,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
ISNE,4.09816675858807,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
JEA,5.404514006870203,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
LDWP,4.789472387603897,2,"Mon,Tue,Wed,Thu,Fri | Sat,Sun"
LGEE,6.106277467534295,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
MISO,3.6611339109759227,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
NEVP,5.63865787558165,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
NWMT,2.5398250478786837,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
NYIS,3.053784009688737,2,"Mon,Tue,Wed,Thu,Fri | Sat,Sun"
PACE,3.3423711956453332,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
PACW,4.213738551080272,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
PGE,3.274834717712776,2,"Mon,Tue,Wed,Thu,Fri | Sat,Sun"
PJM,3.988291787781547,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
PNM,5.413021236509317,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
PSCO,4.394578329643016,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
PSEI,3.215413020208386,2,"Mon,Tue,Wed,Thu,Fri | Sat,Sun"
SC,6.320437027606414,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
SCEG,5.46406416681373,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
SCL,2.57581755553315,2,"Mon,Tue,Wed,Thu,Fri | Sat,Sun"
SOCO,5.710987873407911,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
SRP,7.221015334456175,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
SWPP,5.278118046268897,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
TEC,4.412904207013306,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
TEPC,9.222829305883273,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
TPWR,3.109356605988098,2,"Mon,Tue,Wed,Thu,Fri | Sat,Sun"
TVA,6.553430572194537,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
WACM,3.52892376346247,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
WALC,7.139609243105317,1,"Mon,Tue,Wed,Thu,Fri,Sat,Sun"
